PERMNO,date,TICKER,VOL,RET
76568,2/24/2009,SONC,723677,0.036571
76568,2/25/2009,SONC,385450,-0.007718
76568,2/26/2009,SONC,416463,-0.021111
76568,2/27/2009,SONC,483746,0.021566
76568,3/2/2009,SONC,635163,-0.063333
76568,3/3/2009,SONC,737745,-0.04745
76568,3/4/2009,SONC,1408747,-0.028643
76568,3/5/2009,SONC,2610241,-0.126923
76568,3/6/2009,SONC,2662469,-0.035242
76568,3/9/2009,SONC,1719966,-0.074581
76568,3/10/2009,SONC,1666645,0.09375
76568,3/11/2009,SONC,1018477,0.088722
76568,3/12/2009,SONC,1318868,0.09116
76568,3/13/2009,SONC,775832,0.007595
76568,3/16/2009,SONC,724643,-0.012563
76568,3/17/2009,SONC,652951,0.049618
76568,3/18/2009,SONC,760029,0.081212
76568,3/19/2009,SONC,891269,-0.032511
76568,3/20/2009,SONC,640788,-0.011588
76568,3/23/2009,SONC,1182113,0.087925
76568,3/24/2009,SONC,1852052,-0.011853
76568,3/25/2009,SONC,1645363,0.059978
76568,3/26/2009,SONC,1281803,0.040123
76568,3/27/2009,SONC,1004088,-0.007913
76568,3/30/2009,SONC,719016,-0.034895
76568,3/31/2009,SONC,799359,0.035124
76568,4/1/2009,SONC,956760,-0.025948
76568,4/2/2009,SONC,993682,0.090164
76568,4/3/2009,SONC,445432,0.012218
76568,4/6/2009,SONC,988951,-0.081708
76568,4/7/2009,SONC,724503,-0.041456
76568,4/8/2009,SONC,538899,0.017932
76568,4/9/2009,SONC,765285,0.115026
76568,4/13/2009,SONC,1034069,0.010223
76568,4/14/2009,SONC,663067,-0.044158
76568,4/15/2009,SONC,952702,0.006737
76568,4/16/2009,SONC,1067889,0.06979
76568,4/17/2009,SONC,1503142,0.071492
76568,4/20/2009,SONC,1598823,-0.149291
76568,4/21/2009,SONC,986415,0.060784
76568,4/22/2009,SONC,1414500,0.037893
76568,4/23/2009,SONC,1360212,0.0374
76568,4/24/2009,SONC,766123,0.004292
76568,4/27/2009,SONC,1169612,-0.084615
76568,4/28/2009,SONC,557027,-0.006536
76568,4/29/2009,SONC,894867,0.022556
76568,4/30/2009,SONC,734391,0.003676
76568,5/1/2009,SONC,1025650,-0.052198
76568,5/4/2009,SONC,956174,0.056039
76568,5/5/2009,SONC,745237,-0.018298
76568,5/6/2009,SONC,847541,-0.031687
76568,5/7/2009,SONC,863593,-0.050048
76568,5/8/2009,SONC,1838823,-0.042553
76568,5/11/2009,SONC,693234,0.002116
76568,5/12/2009,SONC,1003962,-0.055966
76568,5/13/2009,SONC,1081009,-0.020134
76568,5/14/2009,SONC,815605,0.02968
76568,5/15/2009,SONC,712030,-0.001109
76568,5/18/2009,SONC,839139,0.014428
76568,5/19/2009,SONC,418513,0
76568,5/20/2009,SONC,731566,-0.003282
76568,5/21/2009,SONC,848754,-0.037322
76568,5/22/2009,SONC,616156,-0.029647
76568,5/26/2009,SONC,1326129,0.052879
76568,5/27/2009,SONC,470799,-0.011161
76568,5/28/2009,SONC,588620,0.004515
76568,5/29/2009,SONC,1217009,0.059551
76568,6/1/2009,SONC,711436,0.066808
76568,6/2/2009,SONC,2045816,-0.035785
76568,6/3/2009,SONC,753109,-0.019588
76568,6/4/2009,SONC,690726,0.0347
76568,6/5/2009,SONC,562552,-0.012195
76568,6/8/2009,SONC,433703,-0.028807
76568,6/9/2009,SONC,559591,0
76568,6/10/2009,SONC,899585,-0.022246
76568,6/11/2009,SONC,1099889,-0.043337
76568,6/12/2009,SONC,579433,0.001133
76568,6/15/2009,SONC,716565,0.001131
76568,6/16/2009,SONC,557384,-0.032768
76568,6/17/2009,SONC,735904,0.023364
76568,6/18/2009,SONC,361132,-0.003425
76568,6/19/2009,SONC,624943,0.019473
76568,6/22/2009,SONC,1490287,-0.044944
76568,6/23/2009,SONC,2344881,0.035294
76568,6/24/2009,SONC,4219089,0.114773
76568,6/25/2009,SONC,1308932,-0.005097
76568,6/26/2009,SONC,1517731,0.038934
76568,6/29/2009,SONC,732434,0.000986
76568,6/30/2009,SONC,633435,-0.011823
76568,7/1/2009,SONC,632355,0.024925
76568,7/2/2009,SONC,659170,-0.040856
76568,7/6/2009,SONC,702695,-0.018256
76568,7/7/2009,SONC,482682,-0.03719
76568,7/8/2009,SONC,816639,0.012876
76568,7/9/2009,SONC,575952,-0.013771
76568,7/10/2009,SONC,489600,0.004296
76568,7/13/2009,SONC,525294,0.023529
76568,7/14/2009,SONC,737056,0.032393
76568,7/15/2009,SONC,649508,0.011134
76568,7/16/2009,SONC,370190,-0.003003
76568,7/17/2009,SONC,510466,-0.006024
76568,7/20/2009,SONC,558889,0.031313
76568,7/21/2009,SONC,287772,-0.018609
76568,7/22/2009,SONC,283816,-0.006986
76568,7/23/2009,SONC,629463,0.007035
76568,7/24/2009,SONC,995298,0.047904
76568,7/27/2009,SONC,393895,-0.012381
76568,7/28/2009,SONC,696755,0.047252
76568,7/29/2009,SONC,317612,-0.029466
76568,7/30/2009,SONC,519675,0.032258
76568,7/31/2009,SONC,464293,0.013787
76568,8/3/2009,SONC,976492,0.049864
76568,8/4/2009,SONC,397081,-0.008636
76568,8/5/2009,SONC,400085,-0.014808
76568,8/6/2009,SONC,386279,-0.017684
76568,8/7/2009,SONC,440160,0.022502
76568,8/10/2009,SONC,602105,0.018486
76568,8/11/2009,SONC,556791,-0.036301
76568,8/12/2009,SONC,461484,0.005381
76568,8/13/2009,SONC,202723,0.00446
76568,8/14/2009,SONC,428013,-0.023091
76568,8/17/2009,SONC,390442,-0.032727
76568,8/18/2009,SONC,772925,0.005639
76568,8/19/2009,SONC,469194,0.009346
76568,8/20/2009,SONC,392570,0.014815
76568,8/21/2009,SONC,524018,0.020073
76568,8/24/2009,SONC,247976,0.003578
76568,8/25/2009,SONC,595136,0.02139
76568,8/26/2009,SONC,543926,0.015707
76568,8/27/2009,SONC,371019,-0.00945
76568,8/28/2009,SONC,849459,-0.008673
76568,8/31/2009,SONC,488516,0
76568,9/1/2009,SONC,490566,-0.032371
76568,9/2/2009,SONC,739713,-0.000904
76568,9/3/2009,SONC,542017,0.022624
76568,9/4/2009,SONC,513546,0.013274
76568,9/8/2009,SONC,512805,-0.00524
76568,9/9/2009,SONC,1023298,-0.00439
76568,9/10/2009,SONC,893586,0.005291
76568,9/11/2009,SONC,345199,-0.005263
76568,9/14/2009,SONC,553998,0.022928
76568,9/15/2009,SONC,817780,0.007759
76568,9/16/2009,SONC,606471,0.028229
76568,9/17/2009,SONC,2015054,-0.024127
76568,9/18/2009,SONC,1256439,-0.02387
76568,9/21/2009,SONC,767274,0.003493
76568,9/22/2009,SONC,909607,0
76568,9/23/2009,SONC,667427,-0.013925
76568,9/24/2009,SONC,460450,-0.031774
76568,9/25/2009,SONC,1096894,-0.019143
76568,9/28/2009,SONC,510973,0.012082
76568,9/29/2009,SONC,779227,0.018365
76568,9/30/2009,SONC,694522,-0.002705
76568,10/1/2009,SONC,695449,-0.048825
76568,10/2/2009,SONC,453650,0.000951
76568,10/5/2009,SONC,523440,0.006648
76568,10/6/2009,SONC,672982,0.018868
76568,10/7/2009,SONC,498676,-0.013889
76568,10/8/2009,SONC,636061,0.013146
76568,10/9/2009,SONC,996013,-0.003707
76568,10/12/2009,SONC,285039,0.008372
76568,10/13/2009,SONC,533260,0
76568,10/14/2009,SONC,463556,-0.004613
76568,10/15/2009,SONC,630718,-0.004634
76568,10/16/2009,SONC,1082912,0.027933
76568,10/19/2009,SONC,469337,0.01721
76568,10/20/2009,SONC,1227410,-0.005343
76568,10/21/2009,SONC,2188333,-0.102954
76568,10/22/2009,SONC,747051,0.01497
76568,10/23/2009,SONC,422425,-0.016716
76568,10/26/2009,SONC,1132285,-0.013
76568,10/27/2009,SONC,790825,-0.010132
76568,10/28/2009,SONC,1324356,-0.039918
76568,10/29/2009,SONC,1093327,0.028785
76568,10/30/2009,SONC,785204,-0.031088
76568,11/2/2009,SONC,1240339,-0.00107
76568,11/3/2009,SONC,809846,0.028908
76568,11/4/2009,SONC,661697,-0.010406
76568,11/5/2009,SONC,569173,0.044164
76568,11/6/2009,SONC,564387,0.004028
76568,11/9/2009,SONC,476994,0.002006
76568,11/10/2009,SONC,782126,-0.029029
76568,11/11/2009,SONC,695381,0
76568,11/12/2009,SONC,478463,-0.02268
76568,11/13/2009,SONC,595107,-0.008439
76568,11/16/2009,SONC,906452,0.038298
76568,11/17/2009,SONC,258370,-0.003074
76568,11/18/2009,SONC,319250,-0.004111
76568,11/19/2009,SONC,498866,-0.016512
76568,11/20/2009,SONC,295012,0.005247
76568,11/23/2009,SONC,434104,0.019833
76568,11/24/2009,SONC,640304,-0.001024
76568,11/25/2009,SONC,331962,-0.002049
76568,11/27/2009,SONC,227204,-0.019507
76568,11/30/2009,SONC,853903,0.009424
76568,12/1/2009,SONC,402947,0.005187
76568,12/2/2009,SONC,368788,0.011352
76568,12/3/2009,SONC,418813,-0.007143
76568,12/4/2009,SONC,689361,0.016444
76568,12/7/2009,SONC,633677,0.010111
76568,12/8/2009,SONC,531542,-0.017017
76568,12/9/2009,SONC,278305,-0.007128
76568,12/10/2009,SONC,375224,0.006154
76568,12/11/2009,SONC,416462,0.017329
76568,12/14/2009,SONC,535846,0.022044
76568,12/15/2009,SONC,393720,-0.00098
